plate	well	cell_class
1	A2	interphase
1	A2	mitotic
1	A2	all
2	A1	interphase
2	A1	mitotic
2	A1	all
3	B3	interphase
3	B3	mitotic
3	B3	all
3	A1	interphase
3	A1	mitotic
3	A1	all
2	B2	interphase
2	B2	mitotic
2	B2	all
2	B1	interphase
2	B1	mitotic
2	B1	all
3	B2	interphase
3	B2	mitotic
3	B2	all
2	B3	interphase
2	B3	mitotic
2	B3	all
2	A3	interphase
2	A3	mitotic
2	A3	all
1	A1	interphase
1	A1	mitotic
1	A1	all
3	B1	interphase
3	B1	mitotic
3	B1	all
3	A3	interphase
3	A3	mitotic
3	A3	all
1	B2	interphase
1	B2	mitotic
1	B2	all
1	B1	interphase
1	B1	mitotic
1	B1	all
2	A2	interphase
2	A2	mitotic
2	A2	all
3	A2	interphase
3	A2	mitotic
3	A2	all
1	B3	interphase
1	B3	mitotic
1	B3	all
1	A3	interphase
1	A3	mitotic
1	A3	all
