cell_class	channel_combo	leiden_resolution
Mitotic	DAPI_COXIV_CENPA_WGA	2
Mitotic	DAPI_COXIV_CENPA_WGA	3
Mitotic	DAPI_COXIV_CENPA_WGA	4
Mitotic	DAPI_COXIV_CENPA_WGA	5
Mitotic	DAPI_COXIV_CENPA_WGA	6
Mitotic	DAPI_COXIV_CENPA_WGA	7
Mitotic	DAPI_COXIV_CENPA_WGA	8
Mitotic	DAPI_COXIV_CENPA_WGA	9
Mitotic	DAPI_COXIV_CENPA_WGA	10
Mitotic	DAPI_CENPA	2
Mitotic	DAPI_CENPA	3
Mitotic	DAPI_CENPA	4
Mitotic	DAPI_CENPA	5
Mitotic	DAPI_CENPA	6
Mitotic	DAPI_CENPA	7
Mitotic	DAPI_CENPA	8
Mitotic	DAPI_CENPA	9
Mitotic	DAPI_CENPA	10
Mitotic	DAPI_WGA	2
Mitotic	DAPI_WGA	3
Mitotic	DAPI_WGA	4
Mitotic	DAPI_WGA	5
Mitotic	DAPI_WGA	6
Mitotic	DAPI_WGA	7
Mitotic	DAPI_WGA	8
Mitotic	DAPI_WGA	9
Mitotic	DAPI_WGA	10
Interphase	DAPI_COXIV_CENPA_WGA	2
Interphase	DAPI_COXIV_CENPA_WGA	3
Interphase	DAPI_COXIV_CENPA_WGA	4
Interphase	DAPI_COXIV_CENPA_WGA	5
Interphase	DAPI_COXIV_CENPA_WGA	6
Interphase	DAPI_COXIV_CENPA_WGA	7
Interphase	DAPI_COXIV_CENPA_WGA	8
Interphase	DAPI_COXIV_CENPA_WGA	9
Interphase	DAPI_COXIV_CENPA_WGA	10
Interphase	DAPI_CENPA	2
Interphase	DAPI_CENPA	3
Interphase	DAPI_CENPA	4
Interphase	DAPI_CENPA	5
Interphase	DAPI_CENPA	6
Interphase	DAPI_CENPA	7
Interphase	DAPI_CENPA	8
Interphase	DAPI_CENPA	9
Interphase	DAPI_CENPA	10
Interphase	DAPI_WGA	2
Interphase	DAPI_WGA	3
Interphase	DAPI_WGA	4
Interphase	DAPI_WGA	5
Interphase	DAPI_WGA	6
Interphase	DAPI_WGA	7
Interphase	DAPI_WGA	8
Interphase	DAPI_WGA	9
Interphase	DAPI_WGA	10
all	DAPI_COXIV_CENPA_WGA	2
all	DAPI_COXIV_CENPA_WGA	3
all	DAPI_COXIV_CENPA_WGA	4
all	DAPI_COXIV_CENPA_WGA	5
all	DAPI_COXIV_CENPA_WGA	6
all	DAPI_COXIV_CENPA_WGA	7
all	DAPI_COXIV_CENPA_WGA	8
all	DAPI_COXIV_CENPA_WGA	9
all	DAPI_COXIV_CENPA_WGA	10
all	DAPI_CENPA	2
all	DAPI_CENPA	3
all	DAPI_CENPA	4
all	DAPI_CENPA	5
all	DAPI_CENPA	6
all	DAPI_CENPA	7
all	DAPI_CENPA	8
all	DAPI_CENPA	9
all	DAPI_CENPA	10
all	DAPI_WGA	2
all	DAPI_WGA	3
all	DAPI_WGA	4
all	DAPI_WGA	5
all	DAPI_WGA	6
all	DAPI_WGA	7
all	DAPI_WGA	8
all	DAPI_WGA	9
all	DAPI_WGA	10
